z,zeta,as_scale,hmf,cooling_scale,T_min,score
10.0,17.07540188232742,0.8,ST,1.0,15000.0,0.0019811216696347736
10.0,17.999369308004486,0.8,ST,1.0,15000.0,0.001936622524629398
10.0,18.973333554230518,0.8,ST,1.0,15000.0,0.0018898670254837821
10.0,20.000000000000004,0.8,ST,1.0,15000.0,0.0018412584116599445
10.0,3.0,0.8,ST,2.0,8000.0,0.0006011897402428752
10.0,3.1623330622689494,0.8,ST,2.0,8000.0,0.0007309217772822782
10.0,3.33345013223977,0.8,ST,2.0,8000.0,0.000871791300299567
10.0,3.5138265215355418,0.8,ST,2.0,8000.0,0.0010218532900220802
10.0,3.703963261376446,0.8,ST,2.0,8000.0,0.001178883563597289
10.0,3.9043884942934204,0.8,ST,2.0,8000.0,0.0013404953954228344
10.0,4.1156589411488556,0.8,ST,2.0,8000.0,0.0015042450568387802
10.0,4.338361447539279,0.8,ST,2.0,8000.0,0.0016676988766777844
10.0,4.573114613875481,0.8,ST,2.0,8000.0,0.0018285592911974102
10.0,4.820570513667911,0.8,ST,2.0,8000.0,0.0019846478798924367
10.0,5.0814165047902815,0.8,ST,2.0,8000.0,0.0021340646494865593
10.0,5.356377138752477,0.8,ST,2.0,8000.0,0.0022751342117221444
10.0,5.389452332657201,0.8,ST,2.0,8000.0,0.002291005902533776
10.0,5.646216173286171,0.8,ST,2.0,8000.0,0.002406453404925746
10.0,5.9517386938335095,0.8,ST,2.0,8000.0,0.0025268998016629084
10.0,6.273793349831704,0.8,ST,2.0,8000.0,0.0026356060691840886
10.0,6.613274712005288,0.8,ST,2.0,8000.0,0.0027320045334830994
10.0,6.971125757213828,0.8,ST,2.0,8000.0,0.0028157072191527617
10.0,7.3483404877573175,0.8,ST,2.0,8000.0,0.002886630682765188
10.0,7.745966692414836,0.8,ST,2.0,8000.0,0.0029447858745160036
10.0,8.165108856885828,0.8,ST,2.0,8000.0,0.0029904011253224644
10.0,8.606931231718361,0.8,ST,2.0,8000.0,0.003023883625574861
10.0,9.072661066246061,0.8,ST,2.0,8000.0,0.0030456960262634425
10.0,9.563592017516726,0.8,ST,2.0,8000.0,0.003056424769071564
10.0,10.081087743681516,0.8,ST,2.0,8000.0,0.003056732687922365
10.0,10.626585691826111,0.8,ST,2.0,8000.0,0.0030473175085204973
10.0,11.20160109076529,0.8,ST,2.0,8000.0,0.0030288968938437786
10.0,11.807731159891665,0.8,ST,2.0,8000.0,0.003002260994991507
10.0,12.446659545769569,0.8,ST,2.0,8000.0,0.0029681414489968897
10.0,13.120160998797505,0.8,ST,2.0,8000.0,0.0029273039015928117
10.0,13.830106302929654,0.8,ST,2.0,8000.0,0.002880490258985934
10.0,14.578467472149546,0.8,ST,2.0,8000.0,0.0028284048105064407
10.0,15.367323228130308,0.8,ST,2.0,8000.0,0.0027717316365963147
10.0,16.198864774296695,0.8,ST,2.0,8000.0,0.0027111280058422726
10.0,17.07540188232742,0.8,ST,2.0,8000.0,0.0026472169938924067
10.0,17.999369308004486,0.8,ST,2.0,8000.0,0.002580546042181828
10.0,18.973333554230518,0.8,ST,2.0,8000.0,0.0025116718977860283
10.0,20.000000000000004,0.8,ST,2.0,8000.0,0.0024410905674217653
10.0,3.0,0.8,ST,2.0,10000.0,0.0004967726231709146
10.0,3.1623330622689494,0.8,ST,2.0,10000.0,0.0006092219741241134
