z,as_scale,hmf,cooling_scale,T_min,peak_zeta,observed_over_peak,n_valid_zeta
4.0,1.0,PS,0.5,15000.0,4.698458099969787,0.9875682135216798,38
4.0,1.0,PS,1.0,8000.0,4.446904753174188,0.9771254835527412,38
4.0,1.0,PS,1.0,10000.0,4.563016114563942,0.9824909634819282,38
4.0,1.0,PS,1.0,15000.0,4.765810979214634,0.9901741125408587,38
4.0,1.0,PS,2.0,8000.0,4.486411726679304,0.979556858406154,38
4.0,1.0,PS,2.0,10000.0,4.605322112196841,0.9846694850919901,38
4.0,1.0,PS,2.0,15000.0,4.816466940990016,0.9919288171803112,38
4.0,1.2,ST,0.5,8000.0,3.500094123099803,0.8949294075461673,38
4.0,1.2,ST,0.5,10000.0,3.5703619600996666,0.9028295296496026,38
4.0,1.2,ST,0.5,15000.0,3.6955798025763342,0.9158752660223759,38
4.0,1.2,ST,1.0,8000.0,3.559899850003638,0.9049271808278891,38
4.0,1.2,ST,1.0,10000.0,3.6340202216961073,0.9127461126938092,38
4.0,1.2,ST,1.0,15000.0,3.7659367614085304,0.9255977285007457,38
4.0,1.2,ST,2.0,8000.0,3.609644669894711,0.9131363511237455,38
4.0,1.2,ST,2.0,10000.0,3.6894856774366094,0.920841434067195,38
4.0,1.2,ST,2.0,15000.0,3.827253466143919,0.9335924447708497,38
4.0,1.2,PS,0.5,8000.0,3.9716624729346184,0.9430202286711081,38
4.0,1.2,PS,0.5,10000.0,4.065612418702742,0.9505484269527688,38
4.0,1.2,PS,0.5,15000.0,4.229188150481298,0.9624008272499652,38
4.0,1.2,PS,1.0,8000.0,4.025770583195002,0.9491996774026369,38
4.0,1.2,PS,1.0,10000.0,4.12487011985411,0.9564501552340836,38
4.0,1.2,PS,1.0,15000.0,4.298291588729369,0.9678886828705593,38
4.0,1.2,PS,2.0,8000.0,4.069342702675087,0.9537635756084706,38
4.0,1.2,PS,2.0,10000.0,4.170729846030111,0.9608406843775424,38
4.0,1.2,PS,2.0,15000.0,4.352547322111644,0.9719414372626176,38
2.0,0.8,ST,0.5,8000.0,3.0,0.7688325123801035,38
2.0,0.8,ST,0.5,10000.0,3.0,0.7744051480199378,38
2.0,0.8,ST,0.5,15000.0,3.0,0.7873121211855763,38
2.0,0.8,ST,1.0,8000.0,3.0,0.7850420514128779,38
2.0,0.8,ST,1.0,10000.0,3.0,0.7909403017651615,38
2.0,0.8,ST,1.0,15000.0,3.0,0.804936801193795,38
2.0,0.8,ST,2.0,8000.0,3.0,0.8000105513011657,38
2.0,0.8,ST,2.0,10000.0,3.0,0.8062835317464704,38
2.0,0.8,ST,2.0,15000.0,3.0,0.8213595477234322,38
2.0,0.8,PS,0.5,8000.0,3.0,0.8175393610296809,38
2.0,0.8,PS,0.5,10000.0,3.0889870988925305,0.8256602355341083,38
2.0,0.8,PS,0.5,15000.0,3.211824155527163,0.8436549138262276,38
2.0,0.8,PS,1.0,8000.0,3.0994421877160185,0.833688178744913,38
2.0,0.8,PS,1.0,10000.0,3.1560224059515405,0.8418099165382729,38
2.0,0.8,PS,1.0,15000.0,3.2854940295441946,0.8598616707742532,38
2.0,0.8,PS,2.0,8000.0,3.154249678870137,0.8472322567384419,38
2.0,0.8,PS,2.0,10000.0,3.2124645587398883,0.855340493184182,38
2.0,0.8,PS,2.0,15000.0,3.3506664034288507,0.8734093697716627,38
2.0,1.0,ST,0.5,8000.0,3.0,0.7227517379831147,38
